Selection,Max,Length
EHDOPEOMC,CHOMPED/MOOCHED/POOCHED,7
IWESPNAFU,FUSAIN/INFUSE/PUISNE/SUPINE/UNSAFE/UNWISE/WAIFUS/WASPIE,6
IRDRIOINU,INDRI/ROUND,5
OIHGURENZ,ROUGHEN/ROUGHIE/ZEROING,7
AAFSQASBT,ABAFT/BAFTA/BASTS/FASTS/STABS,5
GIWEMEDCC,WEDGIE,6
OMRAFAEIX,FOAMIER,7
BSAERDINE,ARSENIDE/BEARDIES/BRANDIES/INBREEDS/NEARSIDE,8
TOSSHAONY,ANYHOO/HOSTAS/HYSONS/NASHOS/SANTOS/SHANTY/SHOATS/SHOOTS/SNOOTS/SNOOTY/STOOSH/SYNTHS/TOYONS/YAHOOS,6
ENRHDOAUL,EUROLAND/UNLOADER,8
TRETODUIL,DILUTER/DOTTIER/OUTLIER/OUTRIDE/TRIOLET/TUTORED,7
NODSPEEIV,NOSEDIVE,8
EEILNJGAM,LIEGEMAN,8
IUETRRHIN,HURTIER/INHERIT/RUNTIER,7
OUADDTISA,AOUDADS,7
ORYGESSED,GEODESY/GESSOED/GEYSERS/GROSSED/SODGERS,7
AQMRSISET,ASTERISM/SMARTIES,8
BEONOJEDT,BOOTED/BOOTEE/DEBONE/DENOTE,6
AKPYUDFRO,PADOUK/PARODY,6
PNLABIALE,ABELIAN/BIPLANE/PINBALL/PLIABLE,7
XRUTCNEOI,NEUROTIC,8
ORNVEAFOG,FORGAVE/FORGONE/OREGANO,7
FTEELARSI,ATELIERS/EARLIEST/FEARTIES/FRAILEST/LEAFIEST/REFLATES,8
SEDNOERSA,DEARNESS/ENDORSES/REASONED/SEASONED,8
OEGAMQWSL,AMOLES/GLEAMS/GOLEMS/MALEOS/OMEGAS/SAWLOG,6
MOOCTIRRP,COMPORT/MOTORIC/PORTICO/PROCTOR,7
YIAGEREET,ETAGERE,7
NEAJAALUG,LEGUAAN,7
OBESTERRA,AEROBES/BARTERS/BEARERS/BEATERS/BERATES/BOASTER/BOATERS/BORATES/REBATES/REBATOS/REBORES/RERATES/RESTORE/ROASTER/ROSEATE/SERRATE/SOBERER/TEARERS,7
OCRRSAAID,CORRIDAS,8
EAXDTNLNE,ANNEXED/EXALTED,7
CMOTOTRBE,BETTOR/BOOMER/BOTTOM/COMBER/COOMBE/COOTER/COTTER/MOOTER/OBTECT/REBOOT/TOOTER,6
TIDNIBAEH,INHABITED,9
TIELDARMP,DIPTERAL/IMPARTED/TRAMPLED,8
STSEEWRFI,FESTERS/RESITES/SIFTERS/SWIFTER/WESTIES,7
BRURNOAEN,ARBOUR/BANNER/BARREN/BORANE/BOURNE/BURNER/NANOBE/NEURON/REBORN/ROANER/RUNNER/UNBORN/UNROBE/URBANE,6
ASNVTIGIR,STARVING/STRIVING,8
LOPTQOOEN,PELOTON,7
CEYUMOTLA,ACOLYTE/ACUTELY/CALUMET/LEUCOMA,7
EAEHWRRGO,GHERAO/GROWER/HARROW/HEARER/HOARER/REGREW/REGROW/REHEAR/WEARER,6
USLAEHART,ARETHUSA,8
UTAEEEZXS,EXEATS/STEEZE,6
SILPIEPEU,PEEPULS,7
AUDEMNTRE,DENATURE/NUMERATE/UNDREAMT,8
VINFAETAS,SANATIVE,8
FHWOEINMA,ANOMIE/FAMINE/WAHINE,6
TESOSUEEP,ESPOUSE/POETESS/POSEUSE/TOUPEES,7
DFTORIILI,TRIFOLD,7
AGDEWMTEZ,GAMETE/METAGE/TEAMED,6
INARIOXTP,AIRPOT/NITROX/PATRON/PINTXO/RAPINI/RATION/ROTINI/TARPON,6
GCTEUDJEO,DEJECT,6
LLRISNAOR,LLANOS/NORIAS/SAILOR,6
BRUCNIOGA,BRACING/CARIBOU/CURBING/ORGANIC/RUBICON,7
SOQEILTAV,VIOLATES,8
RUIRMTACS,ATRIUMS/CRATURS/MATSURI/TRICARS,7
LGWSCUEIA,CLAUSE/GLACIS/LIGASE/SILAGE/SLUICE/UGALIS/WILGAS,6
IESXIOTGM,EGOTISM,7
OELTEBRRS,BOLSTERER,9
ENNAIRUPH,HEPARIN/PANNIER/PUNNIER,7
JRDEOEMDE,DEEMED/DEMODE/DEMOED/ERODED/JEERED/MODDER/REDEEM/REEDED,6
GNOOPLONT,PONTOON,7
TIMASEUYG,GAMIEST/MAGUEYS/SIGMATE,7
EKNATIAEP,TAENIAE,7
ATFSDRIAC,ACARIDS/ASCARID/CARDIAS/CARIADS/CARITAS/DRASTIC/FARADIC,7
SUOAQCMPE,MUCOSAE/OPAQUES,7
GLAIJDIUR,GLADII,6
EESENOPTN,PENTOSE/STEEPEN,7
REECSWTTA,CREATES/ESTREAT/RESTATE/SCATTER/SWEATER/TERCETS,7
CONHIGVLA,CALVING/COALING/HALOING/HALVING,7
IETEBDSSA,BASTIDES/BEADIEST/BEASTIES/DIABETES/STEADIES,8
YEDIERZUB,BREDIE/BREEZY/BURIED/UREIDE,6
AHTAMESON,ANTHEMS/ATHAMES/HAMATES/MAHANTS/NAMASTE/SMETANA,7
TPEMAXARI,MIXTAPE/PRIMATE,7
RIOAOLISC,LORICAS,7
SATUPAEDG,UPSTAGED,8
WEMTSQOER,EMOTERS/METEORS/REMOTES,7
POTOASINL,OPTIONAL/PLATOONS,8
GREADFVSE,ADVERSE/DEFRAGS/DRAGEES/EVADERS/GREASED/GREAVES/SERFAGE,7
TIEIRWSUN,NEURITIS,8
IEUELRDYT,ERUDITELY,9
BHAAOAMRE,AMOEBA/BRAHMA/HOMBRE,6
ITCTTOXEA,EXOTICA,7
OSNMIEKSB,BOSSMEN/KENOSIS/SMOKIES,7
WDENOMIPE,DOMINEE,7
SUUNDEXQA,QUEANS/SUNDAE/UNUSED,6
DCMLOVSEE,CLEOMES/ECLOSED,7
TTFIPUSAO,OUTFITS/UTOPIAS,7
TAOYGEDIG,GADGETY/GODETIA,7
KDITCAPEA,ADIPATE,7
ISOENRITF,NOTIFIES/TONIFIES,8
EOORALHSA,AEROSOL/ROSEOLA/SHOALER,7
OJAEMIEBP,BIOME/EMOJI/JEMBE/MEEJA/POMBE,5
CLSNAIREE,CARELINES/LARCENIES/RELIANCES,9
TEERNSAOE,RESONATE,8
NHIOJRRUH,JUNIOR,6
DYTAEAIRS,RADIATES,8
NRIADUEST,INDURATES,9
EOBMTILCE,EMBOLIC/TELECOM,7
GESNEAIMD,ENDGAMES,8
IRZEFMOSE,FRIEZES,7
OITAKGWDA,ADAGIO/GODWIT/KWAITO/OAKTAG,6
BESITAOLN,BOTANISE/NOTABLES/OBEISANT/TOENAILS,8
RPQDTOVEE,DEPORT/DEVORE/DEVOTE/PERVED/PORTED/PROVED/REVOTE/TEREDO/VETOED/VETOER,6
IQNSPOAAM,ANOSMIA/MOPANIS/PAISANO,7
IAONSIMKD,DAIKONS/DAIMIOS/DAIMONS/DOMAINS/MADISON/MIKADOS,7
GUTRYEURS,SURGERY,7
ORCBTEDPA,PROBATED,8
MUOFXIESI,FIXIES/FOXIES/MIXIES,6
FSESEERON,FORESEEN/FORESEES/FREENESS,8
IASEENCAK,ASKANCE,7
OASENTVUE,VENTOUSE,8
LUTNROCEA,CALUTRON/COURANTE,8
AGOETICDT,COGITATED,9
MNKEOLTAA,MALONATE,8
SNDEUDOEL,DELOUSED/ENSOULED/LOUDENED,8
GSAIPTIER,GRAPIEST/PARITIES,8
BETVNISOD,BONIEST/BOVINES/INDEBTS/VOIDEST,7
IAGECDWER,RAGWEED/WAGERED/WEARIED,7
MEOEMOABS,EMBOSOM/MAMBOES,7
RROELTGVA,GLOATER/LEGATOR/LEVATOR/REALTOR/RELATOR/VOLTAGE,7
THSOEYSEN,ETHOSES/ETHYNES/EYESHOT/HONESTY/HOTNESS/NESHEST,7
UAEOZRNEH,REZONE/ZONURE,6
OIGASRXRP,PAGRIS/PRAXIS/PRIORS/RIGORS,6
EENFRSOZA,REZONES,7
EROSBGAIR,AGBEROS/BARRIOS/BEGORRA/BORAGES/BROIGES,7
NWEAADLRU,ADRENAL/LAUNDER/LURDANE/RADULAE/UNAWARE,7
MIOYAPESD,SYMPODIA,8
VOECMEEGT,COMET/COVET/EMCEE/EMOTE,5
AESIBTADO,BIODATAS,8
UEUQTTDGE,GUTTED/QUEUED,6
ANTIJIRMI,INTIMA/MANTRI/MARTIN,6
TLIOUMXAD,OUTLAID,7
OSERSCIAS,ASCESIS/COSSIES/CROSSES/ROSACES/SAROSES/SASSIER/SCISSOR/SCORIAE,7
EOJTNTHEE,ETHENE/JETTON/TEETHE,6
NPSPARTIO,APPOINTS,8
ALTUMREEA,LAUREATE/METARULE,8
RNIEUMTGP,PERMUTING,9
DTADCMPIE,IMPACTED,8
TLEAVECRU,CERVELAT/ULCERATE,8
ISOOFKHNG,HOOFING/HOOKING/SHOOING,7
AZIDRAFNT,RADIANT/TZARINA,7
ISCXEORLU,CLOSURE/COLURES/LOURIES/LOUSIER/RECOILS,7
SLOMIDEEY,MELODIES/MELODISE,8
LGHAUOPWE,PLAGUE/PLOUGH,6
IUGBTMEET,BUTTIE,6
RMRNAEIVI,MARINER/MINIVER/RAINIER/RIVIERA/VERMIAN/VIREMIA,7
RTEENCOIW,ERECTION/NEOTERIC,8
ASSGOECRL,CORSAGES/ESCOLARS/LACROSSE,8
GSOITVADF,STIFADO,7
TAMNUPSIS,PUISSANT/TSUNAMIS,8
XTAIEDENL,DATELINE/ENTAILED,8
SZEDIANTP,DESTAIN/DETAINS/INSTEAD/PAINTED/PANDITS/PANTIES/PEDANTS/PENTADS/SAINTED/SANDPIT/SAPIENT/STAINED/STIPEND/TIENDAS/ZANIEST,7
LUKRIRSON,KNURLS/KRONUR,6
ACBAIREHP,ACHIER/APACHE/BREACH/CAHIER/CARBIE/CARIBE/CIPHER/EPARCH/PACIER/PARIAH/PREACH/RAPHAE,6
ESAOPTSPM,APPOSES/MOPPETS/PETASOS,7
DEIENWOLT,DELETION,8
GIOTTALRE,GAROTTE/GLITTER/GLOATER/GOATIER/LEGATOR/TRIOLET,7
UMQADSICM,CADMIUM,7
TAARUUEJT,AUTEUR/TAUTER,6
EKOLMFIOS,FOLIOSE/FOLKIES/LOOKISM,7
NAGOGEBIE,BEGONIA,7
ECBNADELP,CLEANED/DEBACLE/DEPLANE/ENABLED/ENLACED,7
EDNTEOUAX,EXUDATE/UNTAXED,7
PIMVMEABS,BAMMIES,7
HMTDREWAO,HOMEWARD,8
QOANPBIIT,BIOTIN/OBTAIN,6
ESHRPIIAO,APHORISE,8
DLDATIRUC,CURTAIL/TRICLAD,7
UNSJTSAAE,UNSEATS,7
RLHUSOCAE,HOUSECARL,9
RTSEIUNSN,RUNNIEST/STUNNERS/SUNNIEST,8
GLLEAAAFI,FAILLE,6
ETRFOUIDE,ERUDITE/FRUITED/OUTRIDE/REFUTED,7
NAOMDARET,EMANATOR,8
ERHINTEKU,HUNKIER/KERNITE/NEITHER/RETHINK/RETINUE/REUNITE/THEREIN/THINKER/UTERINE,7
TYEEDONPI,EPIDOTE/PENTODE/POINTED,7
IBOFTICEA,BEATIFIC,8
TSLROAUGE,GESTURAL/GLOATERS/LEGATORS/OUTRAGES,8
IGOALPNAS,PIANOLAS,8
LNCSUSAWE,SCALENUS,8
UNNTEIQPE,QUIETEN,7
UILREODMM,MOULDIER,8
AEOFRREPD,ADORER/DEAFER/DEARER/DRAPER/FEARED/FEDORA/PARRED/PREFER/READER/REAPED/REAPER/REARED/REREAD/ROARED,6
OAWSEPDSR,PASSWORD,8
IUIEDHSRC,CHIDERS/CRUISED/CRUISIE/CRUSHED/CUSHIER/DISHIER/DUCHIES/SUICIDE,7
IUONETEHP,POTHEEN/POUTINE,7
AQISUITTN,ASQUINT/INTUITS/QUINTAS,7
ENUIBNDRN,INURNED/NUNBIRD,7
OJSLERPAG,PERGOLAS,8
OIAKBEFDL,AFIELD/ALBEDO/BAILED/BALDIE/BALKED/BIFOLD/BILKED/BOAKED/BOILED/BOLIDE/BOLKED/DOABLE/EIDOLA/FABLED/FAILED/FLAKED/FOALED/FOIBLE/FOILED/FOLKIE/KELOID/LOAFED/OBELIA,6
MERAKLAGE,LEAKAGE,7
ETGRSILMI,GRIMIEST/LIMITERS,8
XMCTFETAO,TOMCAT,6
LRENDHFOI,FONDLER,7
HGISADNSI,SHADINGS/SHINDIGS,8
BLGAAORRN,GRANOLA,7
AMDIEUYSR,ADMIRES/DASYURE/DYSURIA/MARDIES/MISREAD/MYRIADS/REMUDAS/RESIDUA/SIDEARM,7
PCBUASNEF,FAUCES/PECANS/UNCAPS/UNCASE/UNSAFE/UPCASE/USANCE,6
EWOLTDIZO,DOOZIE/LOOTED/OOLITE/TOILED/TOOLED/TOOLIE/WILTED/WOODIE,6
EAMDPSOEK,POMADES,7
IOELTGTND,DOTTING/ETTLING/GLINTED/LENTIGO/LENTOID/LETTING/LOTTING/TINGLED,7
IAEEUCQTM,ACQUIT/CAIQUE/EMETIC/EQUATE/QUEEAI,6
JEGEOCRIT,CORTEGE/COTERIE/EJECTOR/REJOICE,7
NSUUNTEVS,SUNSET/UNSENT/UNSETS,6
DZDAIUAEG,GUIDED,6
FOEIESRAM,FEARSOME,8
IFYMTROEN,ENORMITY,8
EASTOLETS,TELEOSTS,8
EAPLFJCOU,CAJOLE/CAPFUL/COPULA/COUPLA/COUPLE/CUPOLA,6
IOPLIGEAM,GLIOMA/GOALIE/IMPALE/LIPOMA/MAGILP/MAGPIE/MEGILP,6
TABULFGAC,FACTUAL/FLATBUG,7
KDURBOIME,BROMIDE/IMBRUED,7
DATGIWOPE,GODETIA/OPIATED,7
RAISEMYIT,SERIATIM,8
OPAHWXETE,TOWHEE,6
SCOJMEUAR,CAROUSE/MORCEAU/MUCOSAE,7
PBTAIELOR,EPILATOR/PARTIBLE/PETIOLAR/PORTABLE,8
TISONSAER,ASSERTION/NOTARISES,9
DOEDUPFRK,FODDER/FORDED/FORKED/PORKED/POURED/ROUPED,6
ELGERRTIU,ETRIER/GLUIER/GLUTEI/GURTER/REGLET/REGRET/REGULI/RETILE/RETIRE/RULIER/RUTILE/UGLIER/URETER,6
OOTTCHNEI,CHITON/COOTIE/COTTON/ETHNIC/HOTTIE/NOETIC/NOTICE/OCHONE/TECHNO/TIENTO/TOONIE,6
IDNASALFO,ANDISOL/DOLINAS/INFOLDS/LADINOS,7
ENAPCBESO,ABSENCE/BEACONS/OBSCENE,7
ANIPDSWEL,ALPINES/DENIALS/DEWLAPS/INWALES/PALSIED/PINEALS/PINWALE/PLAINED/PLEIADS/SPANIEL/SPAWNED/SPINDLE/SPLENIA/SPLINED/SWINDLE,7
EJOLHDENI,DOLINE/HONIED/INDOLE/JOINED,6
EDCOMRRMA,CAROMED/COMRADE/CRAMMED/CRAMMER/MERCADO,7
SUOTLDEGO,GOLDEST/LOGOUTS/LOUDEST/OUTDOES/OUTGOES/OUTSOLD/OUTSOLE/STOOGED/STOOLED/TOUSLED,7
RSAEIIAVP,APIARIES/AVIARIES,8
OIRBNOTYE,BORNITE,7
SEOIQUISL,SILIQUOSE,9
RSEORTADM,MORTARED/REARMOST/ROADSTER/ROTAMERS,8
SIREESAKN,SNEAKERS/SNEAKIER,8
TAFADLXNA,FANAL/FATAL/NATAL,5
NDRIEDHDA,DANDIER/DIEHARD/DRAINED/HANDIER,7
AOIMSZEPM,APOZEMS,7
LRAONCANI,CANNOLI/CARINAL/CLARION/CRANIAL/OCARINA,7
OOTMQBSEA,TABOOS,6
ETDUESEGI,DUGITES/EDGIEST/EGESTED/GUESTED,7
AUJMBSRGI,BIGRAMS/JABIRUS,7
ENWENTERO,TENONER/TWEENER,7
ADSRUFHET,DEARTHS/FATHERS/HARDEST/SHAFTED/SHAFTER/SHARTED/STRAFED/THREADS/TRASHED,7
YCOEURSTE,COURTESY,8
NORELCLIW,COLLIER/LOWLIER,7
ASNEDRODI,ADENOIDS/ANDROIDS/ANEROIDS/ANODISED/ANODISER/INDORSED/ORDAINED/ROADSIDE/SARDINED,8
FSZBOASIO,BAZOOS/SABZIS,6
EOPLLAMUB,AMPOULE,7
RRTUOEKEC,CORKTREE,8
EITMEIXGN,EXIGENT/EXITING/MEETING/TEEMING,7
NAECEIRED,CAREENED/DERACINE,8
OMIDYDARD,DAIMYO/MIDDAY/MYRIAD,6
CPUMAEEOL,AMPOULE/EMPLACE/LEUCOMA,7
TTSPEIEAS,PASTIEST/PEATIEST,8
AEGAUNTNC,AGNATE/ANAGEN/CANNAE/CATENA/GANNET/GATEAU/NUANCE/UNCAGE,6
RENITEAJR,RETAINER,8
OEOSAFRIT,FAIREST/FOETORS/FOOSTER/FOOTERS/FOOTIES/FOOTSIE/FORTIES/FROSTIE/OOFIEST/OSTERIA/ROASTIE/ROOFIES/SOFRITO/SOOTIER,7
USDZAIEIB,ABIDES/ABUSED/ADIEUS/AZIDES/BIASED/BUSIED/DAUBES/ZAIDES,6
OSEDCNEIF,CONFIDES,8
TORENDDAV,ADORNED/DONATED/NOVATED/TRODDEN/VENATOR/VERDANT,7
BKSUAYIPT,BUPKIS/KITABS/TUPIKS,6
EPARTNMSE,PENTAMERS,9
LOTSENIIT,ELISION/ELITIST/ENTISOL/ISOLINE/LINIEST/LINTIES/LIONISE/LITOTES/OILIEST/ONLIEST/TIENTOS/TINIEST/TOILETS/TONIEST,7
AGUXNREIM,GERANIUM,8
ALECITRER,TREACLIER,9
IXTSFTBAE,BATISTE/BATTIES/FATTIES/FIXATES,7
SUILEGNHC,GLUNCHES/SCUNGILE,8
DEAWTFUIA,AWAITED,7
PMIENIAED,DIAMINE,7
SEYERNEOG,ERYNGOES,8
MUSHIGISA,MISHUGAS,8
LOTRYNIDA,ADROITLY/DILATORY/IDOLATRY,8
ORRTEUEFQ,REFUTER/REROUTE,7
URLOAURND,NODULAR,7
ERACROOES,CAREERS/COARSER/RESCORE,7
LATARXIIN,TRIAXIAL,8
EZIASSFAR,FRAISES/SAFARIS,7
ALNDROQOS,LARDOONS,8
DUPAHOELG,PLOUGHED,8
EMNRITSLA,TERMINALS/TRAMLINES,9
DEJEEACUR,ADJURE/DECREE/JEERED/RECEDE/REDUCE,6
HDPETVOUI,HIDEOUT/OUTVIED/PIVOTED/UPVOTED,7
AHASNBTOI,ABSINTH/ABSTAIN/BASTION/OBTAINS/SHAITAN/TAIHOAS,7
EIMNPEWES,ENEMIES/WEENIES/WEEPIES,7
LEKEERUOT,KEELER/LEETER,6
YUALECBPK,BACKUP/BAULKY/BUCKLE/KEYPAL/LACKEY/PLACKY/PLUCKY,6
BEUATAORL,AUREOLA/BLOATER/RATABLE/RETABLO/RUBEOLA/TABLEAU/TABULAR/TORULAE/TROUBLE,7
ONSEIUTLD,DELUSION/DILUENTS/ELUTIONS/INSULTED/OUTLINED/OUTLINES/SOLITUDE/UNLISTED/UNSOILED,8
ATNCOCROT,CONTACTOR,9
EOVDOMINA,DOMAINE,7
GRIIHLEAE,GALERE/GIRLIE/HAILER/HALIER/HEALER/HEGIRA/REGALE,6
RWIESEZFN,FRENZIES,8
DICOAGOPM,OMIGOD,6
EESUTLETQ,LEETEST,7
FOSREIADS,FARSIDES,8
NITPDAULA,NUPTIAL/PALADIN/PLAUDIT/UNPLAIT,7
RONGFAESU,EGOSURF/FORAGES/FUNGOES/ONAGERS/ORANGES/SURGEON,7
ILMZRCVIO,CIVIL/MICRO/MOLVI/VIZOR,5
EVTADHNEI,DEVIANT/DEVIATE/EVIDENT/HEADTIE/HEAVIED/NAIVETE/NETHEAD/THIEVED,7
OBELEMTUG,BOLETE/GOBLET/LEGUME/TUMBLE,6
TAIRROSHE,HERITORS/HOARIEST/ROTARIES/TRASHIER,8
ENENTASOI,ENATIONS/NEONATES,8
LUSMOGARS,GLAMOUR/ORGASMS/RUGOSAS,7
TRIYEEFUD,ERUDITE/FRUITED/REFUTED,7
TCOSPGEQE,TOPEES,6
NTAOHITAR,ATHANOR,7
EOTAYSMSI,AMITOSES/ATOMISES/MYOTISES/SOMATISE,8
EDALMUIRL,ALLURED/DALLIER/DIALLER/ILLUMED/MEDULLA/MIAULED/RALLIED,7
KDIEUEGFD,DEFIED/FEUDED/FUDGED/GUIDED/KEDGED,6
NIOGIEANT,NEGATION,8
TAMJSOERU,JOUSTER/MAESTRO/MATURES/RAMJETS/STRUMAE,7
SETQEOITO,TOOTSIE,7
CVIADPINR,AVIDIN/DIAPIR/INDICA/RANCID/RAPINI,6
STEATOENR,ENTREATS/RESONATE,8
UESONSPAH,SAPHENOUS,9
ANOREAFOM,FORAMEN/FOREMAN,7
WONSAPELX,NOPALES/WEAPONS,7
VISDACGAU,GUAIAC/GUAVAS,6
RIMTDAESO,AMORTISED/MEDIATORS,9
EOBAESNDO,DEBONES,7
EMALEEOSQ,AMOLES/MALEOS/MELEES,6
SYEFAGNEU,GANEFS/GANSEY/UNEASE/UNEASY/UNSAFE,6
PICDEHJET,CEPHEID/PITCHED,7
RMAIITOID,ADROIT/DAIMIO/DIATOM,6
UZLTOVENE,EVOLUTE/TOLUENE/VELOUTE,7
LAAUSRIMG,MULGARAS,8
ASATRBEAG,ABREAST/BARAATS/BRAATAS/RATBAGS/TEABAGS,7
QOEIPCTSD,DESPOTIC,8
EHTTAARUC,REATTACH,8
DFREEAVEI,FEARDIE/FEVERED,7
CYENALUUD,UNLACED,7
USEMZALHN,UNLEASH,7
ONSDETOPJ,SNOOPED/SPOONED/STOOPED,7
NKEABOIRF,BONFIRE,7
IMTETISDS,DITSIEST/MISTIEST/TIMIDEST,8
EAHURINTE,EUTHERIAN,9
OOTCERVPI,EVICTOR/OVERTIP/OVERTOP/PORTICO/TROOPIE,7
DUITYAQRA,QUADRATI,8
OTBOMIPDN,TOMPION,7
UIANDMJTA,ADIANTUM,8
BXEREIOSS,BOERIES/BOSSIER/EBRIOSE/SOIREES,7
SARLEACST,SCARLETS,8
LODMLREEU,MODELLER/MULLERED,8
AAFSEGZSR,GASSER/GAZERS/GRAZES/SAGARS/SARGES,6
ENUIOLSGI,LIGNEOUS,8
OBLWEWAEV,ABELE/ABOVE/BELOW/BEVEL/BOWEL/ELBOW/LEAVE/VOBLA/VOWEL/WEAVE/WOWEE,5
TPUOGEISR,GROUPIES/GROUPSET/PIROGUES,8
NNROJUOEM,JOURNO/MUNJON/NEURON/NOONER/UNMOOR,6
DRSTOMAAA,MATADORS,8
TDSHINAUE,DIANTHUS/HANDIEST,8
RIXAODANE,ANOREXIA,8
LPSEIFEOE,ELOPES/PILOSE/POLEIS/SELFIE,6
CMEYCUOAP,CAECUM/OCCUPY/POMACE,6
DLIQUPIMF,LIMPID/LIQUID,6
LOESNRASO,ARENOSOLS,9
EEANSOIDX,ANISEED/ANODISE/DIOXANE/INDEXES/OXIDASE,7
FYANSEAQA,ASANA/FANES/YEANS,5
VCAAERPTA,AVATAR/CARPET/CAVEAT/CRAVAT/PATACA/PATERA/VACATE,6
OOHGIETAD,GODETIA,7
CTUIIZRAS,CZARIST/SATIRIC,7
RSCEEUONV,CONSERVE/CONVERSE/UNCOVERS,8
GWSOETIBM,EGOTISM,7
LOODRENMA,MAROONED/MOORLAND,8
NRUHGESPI,PERUSING/PUNISHER/SPHERING/USHERING,8
LELITATNU,ATTUNE/AUNTIE/ELUANT/ENTAIL/LATENT/LATTEN/LENTIL/LINEAL/LINTEL/LITTLE/LUNATE/LUTEAL/LUTEIN/NUTLET/TAILLE/TALENT/TANTIE/TAUTEN/TELLIN/TENUTI,6
CYPCMNUAO,COMPANY,7
HESXSAREI,HEARSES/HEIRESS,7
IELITNPUG,ELUTING/INUTILE/LIGNITE/PELTING/PLIEING,7
ODTUEKRDA,ADORED/DARTED/DEODAR/DETOUR/DOTARD/DOUTED/ORATED/ROUTED/TOURED/TRADED,6
OGTUELNSI,ELUTIONS/EULOGIST/LIGNEOUS/OUTLINES/TOUSLING,8
LTEBEZMGI,BEIGEL/GIMLET,6
RBSSASOFA,BASSOS/FOSSAS/SABRAS,6
IETJNDRAT,NITRATED,8
TOTHSRIEI,SHITTIER/THEORIST/THIRTIES,8
PTMGNOIAE,PINOTAGE/PTOMAINE,8
XTIAMOSED,ATOMISED/OXIDATES,8
AVTEAIOWR,AVIATOR/VARIATE,7
BPASELRHI,HARELIPS,8
NYOUGLTSE,YOUNGEST,8
TFNAISEEO,ATONIES/FAINEST,7
GEIRIORSI,GORIER/ORGIES/REORGS/RIGORS/ROGERS/ROSIER,6
WELOUTORT,OUTWROTE,8
ARUORCZDA,CRUZADO,7
DIIBREFAN,BANDIER/BRAINED/DENARII,7
PUQITGEEM,GUIMPE/IMPUTE/MEETUP/PIQUET/UPTIME,6
ABKROESSN,BARONESS,8
HIODROGSI,GOODISH,7
EDATOMTEJ,DEMOTE/EMOTED/JETTED/JOTTED/MATTED/METATE/MOATED/OEDEMA/TEAMED,6
UEGDXEPAQ,APEXED,6
NIURIIESG,IRISING/NIGIRIS/REUSING,7
GPRFEAAEN,FREEGAN/PERGANA,7
LSEIPMUTN,TUMPLINES,9
ODIZECFEA,DEFACE/ZODIAC,6
AENSOUTTH,ATTUNES/HAUTEST/NOTATES/SOUTANE/TAUTENS/TENUTOS/TETANUS,7
EINSVOBLI,BOILIES/BOVINES/ELISION/ISOLINE/LIONISE/OLIVINE/VIOLINS/VISIBLE,7
ASJAETEDC,DEJECTS,7
IIROMRAND,MIDIRON/MIRADOR,7
TRPIDUAOV,AUDITOR/PAROTID/PAVIOUR,7
KETNLXEIS,NESTLIKE,8
UEEPANGOT,AUTOPEN/PEONAGE/TUNEAGE,7
AACESRYUL,CAESURAL,8
AECDSDLRA,CALDERAS,8
EBEHTOFNR,OFTENER/THEREOF/THEREON,7
IFOSINKCT,FICTIONS,8
AHRMLUEAG,HAULAGE/HUMERAL/LAUGHER/MULGARA,7
OZUEORANH,HONOUR/ZONURE,6
CIILROBTD,CORTILI/OILBIRD/RIBITOL,7
HANDXARGE,HANGARED,8
SDSEGSICO,COSSIES/DISCOES,7
OLAFESESM,FOAMLESS/SELFSAME,8
UITATDIJN,INTUIT,6
BEDREGIUS,DEBRUISE,8
EETQBMNTA,ABETMENT,8
EPMIRTIEC,EPIMERIC/EREMITIC,8
VEWLALOYA,VOWELLY,7
AESIALRAN,AERIALS/ARALIAS/ARSENAL/LARNIES/NAILERS,7
MREACURGW,ARGUER/CURARE/MURAGE/WARMER,6
HTIIAROCE,HIERATIC,8
NADOPROEY,APRONED/OPERAND/PADRONE,7
TVDNUEOOS,DUOTONES,8
USDAEIZRS,RADIUSES,8
NGERASENT,TRANSGENE,9
EEODBNIKD,BOINKED/DEBONED/DEINKED,7
LHRUIPABG,BURGHAL,7
EESEXPALS,ELAPSES/PLEASES/SAPELES,7
REIUEOGRW,GORIER/GROWER/REGREW/REGROW/REWIRE/RIGOUR/ROGUER,6
DRUIHDSAN,DURIANS,7
TATEBETVA,ABATE,5
LJTAUALNE,ALULAE/ELUANT/LUNATE/LUTEAL,6
ONTESKROO,SNOOKER/SNOOTER/STONKER,7
PSUGACGON,CAPONS/CONGAS/GASCON/GUANOS/PONGAS/PUNGAS/UNCAPS,6
FNIPDMEQI,IMPEND,6
OEDANFTAT,NOTATED,7
RPVEOSPOT,OVERTOPS/POPOVERS/STOPOVER,8
AEDLHUSBA,ABASHED/ABUELAS/AUBADES/BLUSHED/SUBHEAD,7
OTSNUTEWD,DOWNEST/OUTWENT/SNOUTED/STUDENT/STUNTED/SWOTTED/TENUTOS/TESTUDO,7
EOADFDRRI,FADDIER/FOREDID/RADIOED/ROADIED,7
EEOABZNPQ,BEANO/BONZA/BONZE/PAEON/ZOEAE,5
MACINSESO,AMNESICS,8
AVITRNVGE,AVERTING/VINTAGER,8
LKNEEOMAE,EKENAME,7
ESSDUEGPN,GUESSED/NEGUSES/SUSPEND,7
ANUOIHRIP,HAIRPIN,7
